id,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,multiple_lines,target
7038,2019-01-01,2019-11-01,Month-to-month,No,Credit card (automatic),55.2,528.35,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,1
7039,2018-05-01,,Month-to-month,Yes,Electronic check,90.05,1862.9,Fiber optic,No,Yes,Yes,No,No,Yes,Female,0,No,No,No,0
7040,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,39.65,39.65,DSL,No,No,Yes,No,No,Yes,Male,1,No,No,No,1
7041,2019-02-01,,One year,No,Bank transfer (automatic),19.8,202.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
7042,2019-11-01,2019-12-01,Month-to-month,No,Mailed check,20.15,20.15,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
7043,2015-04-01,,Two year,Yes,Credit card (automatic),59.9,3505.1,DSL,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,0
7044,2016-01-01,,Month-to-month,No,Credit card (automatic),59.6,2970.3,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,No,0
7045,2017-08-01,,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,No,0
7046,2015-12-01,2019-11-01,Month-to-month,Yes,Electronic check,99.35,4749.15,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,1
7047,2019-11-01,2019-12-01,Month-to-month,No,Electronic check,30.2,30.2,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,1
7048,2014-02-01,,Two year,Yes,Credit card (automatic),90.25,6369.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
7049,2018-06-01,2019-11-01,Month-to-month,Yes,Mailed check,64.7,1093.1,DSL,No,No,No,No,Yes,Yes,Female,0,No,Yes,No,1
7050,2014-03-01,,Two year,Yes,Credit card (automatic),96.35,6766.95,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,1,Yes,No,Yes,0
7051,2019-12-01,,Month-to-month,Yes,Credit card (automatic),95.5,181.65,Fiber optic,No,No,Yes,No,Yes,Yes,Male,1,Yes,No,No,0
7052,2017-11-01,,One year,No,Mailed check,66.15,1874.45,DSL,Yes,Yes,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
7053,2020-01-01,,Month-to-month,No,Bank transfer (automatic),20.2,20.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
7054,2020-01-01,,Month-to-month,No,Bank transfer (automatic),45.25,45.25,DSL,No,No,No,No,No,No,Male,1,No,No,No,0
7055,2014-02-01,,Two year,No,Bank transfer (automatic),99.9,7251.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
7056,2019-06-01,2019-11-01,Month-to-month,Yes,Electronic check,69.7,316.9,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
7057,2016-04-01,,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,Fiber optic,No,No,Yes,No,No,No,Female,0,No,No,No,0
7058,2017-02-01,2019-12-01,Month-to-month,Yes,Electronic check,106.35,3549.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,1
7059,2018-12-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,1
7060,2019-04-01,,One year,No,Mailed check,49.55,475.7,DSL,No,Yes,No,No,No,No,Male,0,Yes,Yes,No,0
7061,2014-04-01,,Two year,Yes,Credit card (automatic),69.2,4872.35,DSL,Yes,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,0
7062,2018-09-01,,One year,No,Mailed check,20.75,418.25,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7063,2014-11-01,,Two year,Yes,Credit card (automatic),79.85,4861.45,DSL,Yes,Yes,Yes,Yes,Yes,No,Female,0,No,No,Yes,0
7064,2019-01-01,,Month-to-month,Yes,Electronic check,76.2,981.45,DSL,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,No,Yes,0
7065,2016-01-01,,Month-to-month,Yes,Electronic check,84.5,3906.7,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
7066,2019-12-01,,Month-to-month,No,Mailed check,49.25,97.0,DSL,No,Yes,No,No,No,No,Male,0,No,No,No,0
7067,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,80.65,144.15,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,No,1
7068,2015-10-01,,Two year,Yes,Credit card (automatic),79.75,4217.8,DSL,Yes,No,No,Yes,Yes,Yes,Male,0,No,No,Yes,0
7069,2014-05-01,,Two year,Yes,Credit card (automatic),64.15,4254.1,DSL,Yes,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,0
7070,2016-07-01,,Month-to-month,Yes,Electronic check,90.25,3838.75,Fiber optic,No,Yes,No,No,Yes,No,Female,1,No,No,Yes,0
7071,2018-09-01,2019-12-01,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,1
7072,2018-01-01,,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,DSL,Yes,No,No,Yes,Yes,No,Female,1,Yes,No,Yes,0
7073,2019-03-01,2019-11-01,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Fiber optic,No,Yes,No,No,No,No,Female,1,Yes,No,Yes,1
7074,2015-02-01,,One year,Yes,Credit card (automatic),74.85,4456.35,DSL,Yes,Yes,Yes,Yes,No,Yes,Female,1,Yes,Yes,No,0
7075,2018-07-01,2020-01-01,Month-to-month,Yes,Electronic check,95.45,1752.55,Fiber optic,No,No,No,No,Yes,Yes,Male,1,No,No,Yes,1
7076,2014-11-01,,One year,Yes,Credit card (automatic),99.65,6311.2,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
7077,2014-08-01,,One year,Yes,Electronic check,108.45,7076.35,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
7078,2017-04-01,,Two year,No,Credit card (automatic),24.95,894.3,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
7079,2014-02-01,,Two year,Yes,Credit card (automatic),107.5,7853.7,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,No,No,Yes,0
7080,2016-03-01,,Month-to-month,Yes,Electronic check,100.5,4707.1,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,Yes,0
7081,2015-02-01,,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,0
7082,2014-02-01,,Two year,No,Bank transfer (automatic),42.1,2962.0,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,No,0
7083,2018-08-01,,One year,Yes,Credit card (automatic),54.4,957.1,DSL,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,No,0
7084,2019-04-01,2020-01-01,Month-to-month,No,Electronic check,94.4,857.25,Fiber optic,No,No,No,No,Yes,Yes,Female,0,No,No,Yes,1
7085,2019-11-01,,Month-to-month,Yes,Electronic check,75.3,244.1,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,No,No,No,0
7086,2016-03-01,,One year,Yes,Electronic check,78.9,3650.35,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,0
7087,2017-07-01,,Two year,No,Mailed check,79.2,2497.2,DSL,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
7088,2015-12-01,,Two year,No,Bank transfer (automatic),20.15,930.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7089,2019-04-01,,Month-to-month,Yes,Mailed check,79.85,887.35,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,No,No,0
7090,2020-01-01,,Month-to-month,No,Mailed check,49.05,49.05,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
7091,2015-10-01,,One year,Yes,Electronic check,20.4,1090.65,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7092,2014-10-01,,Two year,Yes,Bank transfer (automatic),111.6,7099.0,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Male,1,Yes,Yes,Yes,0
7093,2014-12-01,,Two year,Yes,Bank transfer (automatic),24.25,1424.6,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,0
7094,2019-11-01,,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,Yes,No,0
7095,2015-06-01,,One year,No,Electronic check,110.5,6139.5,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,1,No,No,Yes,0
7096,2016-04-01,,One year,No,Credit card (automatic),55.65,2688.85,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,0
7097,2019-06-01,,Month-to-month,No,Mailed check,54.65,482.25,DSL,Yes,Yes,No,No,No,No,Female,0,Yes,Yes,No,0
7098,2017-08-01,,Month-to-month,Yes,Electronic check,74.75,2111.3,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
7099,2016-05-01,,One year,Yes,Credit card (automatic),25.9,1216.6,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,0
7100,2019-11-01,2019-12-01,Month-to-month,Yes,Electronic check,79.35,79.35,Fiber optic,No,No,No,No,Yes,No,Female,0,No,Yes,No,1
7101,2019-03-01,,Month-to-month,No,Electronic check,50.55,565.35,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,No,0
7102,2019-03-01,2019-10-01,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,No,1
7103,2016-08-01,,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Female,0,No,No,No,0
7104,2016-01-01,,Two year,Yes,Bank transfer (automatic),20.15,973.35,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,No,0
7105,2019-05-01,,Month-to-month,Yes,Credit card (automatic),99.3,918.75,Fiber optic,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,0
7106,2017-03-01,,One year,Yes,Bank transfer (automatic),62.15,2215.45,DSL,Yes,No,No,No,Yes,No,Female,0,Yes,No,No,0
7107,2016-02-01,,Two year,No,Bank transfer (automatic),20.65,1057.0,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7108,2016-04-01,,Two year,Yes,Mailed check,19.95,927.1,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7109,2017-09-01,,Month-to-month,No,Mailed check,33.75,1009.25,DSL,No,No,No,No,Yes,No,Male,0,Yes,No,No,0
7110,2017-08-01,,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,Yes,No,0
7111,2020-01-01,,Month-to-month,No,Electronic check,74.7,74.7,Fiber optic,No,No,No,Yes,No,No,Male,1,No,No,No,0
7112,2014-08-01,,Two year,Yes,Mailed check,84.0,5714.25,DSL,Yes,No,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,Yes,0
7113,2014-09-01,,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,0
7114,2014-02-01,,Two year,Yes,Bank transfer (automatic),100.9,7459.05,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,0
7115,2018-12-01,2019-12-01,Month-to-month,Yes,Electronic check,78.95,927.35,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,Yes,1
7116,2014-03-01,,One year,Yes,Credit card (automatic),66.85,4748.7,DSL,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
7117,2019-06-01,2019-11-01,Month-to-month,No,Mailed check,21.05,113.85,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,1
7118,2015-10-01,,Two year,No,Bank transfer (automatic),21.0,1107.2,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
7119,2017-12-01,2020-01-01,Month-to-month,Yes,Electronic check,98.5,2514.5,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,1,Yes,No,No,1
7120,2020-01-01,,Month-to-month,No,Electronic check,19.45,19.45,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7121,2016-12-01,,One year,No,Bank transfer (automatic),95.0,3605.6,Fiber optic,No,No,Yes,Yes,Yes,No,Male,0,No,No,Yes,0
7122,2014-08-01,,One year,No,Bank transfer (automatic),45.55,3027.25,DSL,No,Yes,Yes,No,Yes,No,Female,1,Yes,No,No,0
7123,2014-03-01,2019-11-01,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,1
7124,2019-09-01,,Month-to-month,No,Mailed check,24.3,100.2,DSL,No,No,No,No,No,No,Male,0,No,No,No,0
7125,2014-02-01,,One year,Yes,Electronic check,104.15,7303.05,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
7126,2017-06-01,,One year,No,Mailed check,30.15,927.65,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
7127,2016-07-01,,One year,No,Mailed check,94.35,3921.3,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,0
7128,2014-02-01,,Two year,No,Credit card (automatic),19.4,1363.25,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
7129,2015-05-01,2019-12-01,Month-to-month,Yes,Electronic check,96.75,5238.9,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,1
7130,2015-10-01,,One year,No,Credit card (automatic),57.95,3042.25,DSL,Yes,No,Yes,Yes,No,No,Female,0,No,No,No,0
7131,2016-07-01,,Month-to-month,Yes,Electronic check,91.65,3954.1,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,No,No,No,0
7132,2016-10-01,2019-11-01,Month-to-month,Yes,Electronic check,76.5,2868.15,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,Yes,1
7133,2014-10-01,,Two year,Yes,Electronic check,54.6,3423.5,DSL,No,Yes,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
7134,2019-11-01,,Month-to-month,No,Electronic check,89.85,248.4,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,No,0
7135,2017-02-01,,Two year,No,Bank transfer (automatic),31.05,1126.35,DSL,Yes,No,No,No,No,No,Female,0,No,No,No,0
7136,2019-02-01,2019-12-01,Month-to-month,Yes,Electronic check,100.25,1064.65,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,1
7137,2016-09-01,,Two year,No,Mailed check,20.65,835.15,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
7138,2017-11-01,,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,Fiber optic,No,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,0
7139,2015-06-01,,One year,Yes,Credit card (automatic),99.8,5515.45,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
7140,2019-08-01,,Month-to-month,No,Mailed check,20.7,112.75,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
7141,2019-09-01,2019-12-01,Month-to-month,Yes,Electronic check,74.4,229.55,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,1
7142,2019-07-01,,Month-to-month,No,Mailed check,50.7,350.35,DSL,Yes,No,No,No,No,No,Female,0,Yes,Yes,No,0
7143,2019-10-01,,Month-to-month,No,Mailed check,20.85,62.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7144,2017-05-01,,Two year,Yes,Electronic check,88.95,3027.65,Fiber optic,Yes,No,No,Yes,Yes,No,Male,0,No,No,No,0
7145,2017-10-01,2020-01-01,Month-to-month,Yes,Electronic check,78.05,2135.5,Fiber optic,No,No,Yes,No,No,No,Female,1,No,No,Yes,1
7146,2014-02-01,,Two year,Yes,Bank transfer (automatic),23.55,1723.95,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,0
7147,2020-01-01,,Month-to-month,No,Mailed check,19.75,19.75,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
7148,2014-03-01,,One year,Yes,Electronic check,56.45,3985.35,DSL,Yes,Yes,No,No,Yes,Yes,Male,1,No,No,No,0
7149,2019-01-01,,Month-to-month,Yes,Electronic check,85.95,1215.65,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,0
7150,2017-12-01,2020-01-01,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,DSL,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,No,1
7151,2014-07-01,,Two year,No,Bank transfer (automatic),50.55,3260.1,DSL,No,No,No,Yes,No,No,Male,0,No,No,No,0
7152,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,35.45,35.45,DSL,No,No,No,No,No,Yes,Male,0,No,No,No,1
7153,2019-11-01,2020-01-01,Month-to-month,No,Electronic check,44.35,81.25,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
7154,2016-07-01,,Two year,Yes,Credit card (automatic),25.7,1188.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,0
7155,2018-03-01,,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,Fiber optic,Yes,No,No,No,No,No,Female,0,No,No,No,0
7156,2014-10-01,,Two year,No,Mailed check,20.2,1277.75,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7157,2015-05-01,,Two year,Yes,Mailed check,19.6,1170.55,Fiber optic,No,No,No,No,No,No,Male,0,No,Yes,No,0
7158,2019-10-01,2019-11-01,Month-to-month,Yes,Mailed check,70.45,70.45,Fiber optic,No,No,No,No,No,No,Female,1,Yes,No,No,1
7159,2014-02-01,,Two year,Yes,Credit card (automatic),88.05,6425.65,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Female,1,Yes,Yes,Yes,0
7160,2019-02-01,2019-10-01,Month-to-month,No,Electronic check,71.15,563.65,DSL,Yes,No,No,Yes,No,Yes,Female,0,No,No,Yes,1
7161,2015-01-01,,Two year,Yes,Bank transfer (automatic),101.05,5971.25,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,No,Yes,0
7162,2014-10-01,,One year,Yes,Credit card (automatic),84.3,5289.05,Fiber optic,Yes,Yes,No,No,No,No,Male,0,No,No,Yes,0
7163,2014-03-01,,Two year,No,Bank transfer (automatic),23.95,1756.2,Fiber optic,No,No,No,No,No,No,Male,1,Yes,No,Yes,0
7164,2014-09-01,,Two year,Yes,Credit card (automatic),99.05,6416.7,Fiber optic,Yes,Yes,No,Yes,Yes,No,Female,0,Yes,Yes,Yes,0
7165,2019-11-01,,One year,No,Mailed check,19.6,61.35,Fiber optic,No,No,No,No,No,No,Male,0,No,No,No,0
7166,2019-12-01,2020-01-01,Month-to-month,Yes,Electronic check,45.65,45.65,DSL,No,No,No,No,No,No,Male,0,No,No,No,1
7167,2017-08-01,,One year,No,Credit card (automatic),64.5,1929.95,DSL,No,Yes,Yes,No,Yes,No,Male,0,No,Yes,No,0
7168,2018-11-01,,Month-to-month,Yes,Mailed check,69.5,1071.4,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,No,0
7169,2019-06-01,,Month-to-month,Yes,Electronic check,68.55,564.35,DSL,No,No,No,Yes,Yes,Yes,Female,0,Yes,Yes,No,0
7170,2019-06-01,2020-01-01,Month-to-month,No,Mailed check,95.0,655.5,Fiber optic,No,No,No,No,Yes,Yes,Male,0,No,No,Yes,1
7171,2014-04-01,,One year,Yes,Credit card (automatic),108.15,7930.55,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
7172,2014-12-01,,Two year,No,Electronic check,86.1,5215.25,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,Yes,No,0
7173,2019-08-01,,Month-to-month,No,Mailed check,19.7,113.5,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7174,2018-12-01,,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,0
7175,2018-04-01,,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,0
7176,2018-04-01,,One year,No,Mailed check,20.15,419.9,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,No,0
7177,2018-10-01,,Two year,No,Mailed check,64.25,1024.0,DSL,Yes,No,Yes,No,Yes,No,Male,0,Yes,Yes,No,0
7178,2019-04-01,,Two year,No,Bank transfer (automatic),25.7,251.6,Fiber optic,No,No,No,No,No,No,Male,0,No,No,Yes,0
7179,2019-01-01,,Month-to-month,Yes,Electronic check,56.0,764.55,DSL,Yes,Yes,No,No,No,No,Female,0,No,Yes,No,0
7180,2018-03-01,2019-11-01,Month-to-month,No,Electronic check,82.4,1592.35,Fiber optic,Yes,No,No,No,No,No,Female,0,Yes,No,Yes,1
7181,2019-12-01,,Month-to-month,Yes,Electronic check,69.7,135.2,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
7182,2015-09-01,,Two year,Yes,Bank transfer (automatic),73.9,3958.25,DSL,No,Yes,Yes,Yes,No,Yes,Male,0,No,No,Yes,0
7183,2019-03-01,,One year,No,Mailed check,20.6,233.9,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7184,2014-05-01,,Two year,No,Mailed check,19.9,1363.45,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
7185,2019-07-01,2019-11-01,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,1
7186,2014-02-01,,Two year,Yes,Bank transfer (automatic),89.05,6254.45,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,Yes,0
7187,2015-03-01,2020-01-01,Month-to-month,Yes,Electronic check,45.3,2651.2,DSL,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,No,1
7188,2018-10-01,,Month-to-month,No,Electronic check,20.4,321.4,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,No,0
7189,2016-07-01,,One year,Yes,Bank transfer (automatic),84.25,3539.25,Fiber optic,Yes,No,Yes,Yes,No,No,Male,0,Yes,No,No,0
7190,2019-11-01,2020-01-01,Month-to-month,Yes,Electronic check,104.4,242.8,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,Yes,1
7191,2018-12-01,,Two year,No,Mailed check,81.95,1181.75,DSL,No,Yes,Yes,Yes,Yes,Yes,Male,0,Yes,No,No,0
7192,2015-05-01,2019-10-01,One year,Yes,Bank transfer (automatic),94.85,5000.2,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,Yes,No,No,1
7193,2017-06-01,,One year,No,Bank transfer (automatic),20.55,654.55,Fiber optic,No,No,No,No,No,No,Female,0,No,No,No,0
7194,2017-04-01,,Month-to-month,No,Electronic check,24.7,780.2,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,0
7195,2018-07-01,2019-10-01,Month-to-month,Yes,Mailed check,74.45,1145.7,Fiber optic,No,No,No,No,No,No,Female,1,No,No,Yes,1
7196,2019-06-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Fiber optic,Yes,No,No,No,No,No,Female,1,No,No,No,1
7197,2018-11-01,,Month-to-month,Yes,Bank transfer (automatic),105.35,1559.25,Fiber optic,No,Yes,Yes,No,Yes,Yes,Female,0,Yes,Yes,Yes,0
7198,2015-01-01,,One year,Yes,Credit card (automatic),20.55,1252.0,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,No,0
7199,2019-12-01,2020-01-01,Month-to-month,No,Bank transfer (automatic),29.95,29.95,DSL,No,Yes,No,No,No,No,Female,0,No,No,No,1
7200,2020-01-01,,Month-to-month,No,Mailed check,45.3,45.3,DSL,No,No,No,No,No,No,Female,0,No,No,No,0
7201,2019-02-01,2019-10-01,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,Yes,1
7202,2017-05-01,,One year,No,Credit card (automatic),74.75,2453.3,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,Yes,No,0
